state,2016,2017,2018,2019,2020
Florida,92.2,93.29,94.42,95.13,95.31
Florida,92.93,93.1,94.77,94.53,96.77
Florida,92.7,94.31,94.81,95.17,95
Florida,90.16,89.92,91.28,91.14,93.6
Georgia,91.54,92.27,94.07,95.92,96.2
Georgia,94.09,91.56,90.83,92,93.56
Georgia,94.71,96.9,94.74,95.49,95.69
Georgia,96.8,97.5,96.01,92.94,85.97
Georgia,91.8,91.05,90.61,91.85,92.64
Georgia,92.34,93.44,94.7,95.06,96.27
Georgia,91.4,93.2,94.85,95,95.17
Georgia,92.35,93.95,94.39,95.27,94.25
Georgia,92.23,94.85,95.26,94.19,93.88
Georgia,89.57,90.62,91.44,94.79,94.17
Georgia,88.68,89.62,91.17,92.83,92.56
Georgia,93.42,92.31,92.64,93.8,93.27
Georgia,90.85,92.21,94.2,94.2,95.3
Georgia,82.33,86.42,89.81,91.84,93.21
Georgia,90.74,92.06,92.75,93.14,93.03
Georgia,90.28,90.72,91.41,91.97,90.96
Georgia,92.7,94.2,94.98,95.65,95.57
Georgia,91.65,92.42,94.39,95.19,94.88
Georgia,85.59,85.07,85.01,86.76,88.97
Georgia,90.73,91.78,92.65,93.01,93.42
Georgia,92.91,93.71,93.68,94.82,94.88
Georgia,89.2,90.57,92.08,92.93,93.76
Georgia,92.75,94.59,96.06,95.84,96.5
Georgia,87.98,89.6,87.83,88.02,86.27
Georgia,90.75,91.28,91.95,92.47,92.62
Georgia,84.04,84.84,90.41,88.72,88.23
Georgia,89.94,90.5,91.81,94.37,95.13
Georgia,94.48,95.12,95.73,96.33,96.24
Georgia,91.38,92.42,93.58,94.77,94.19
Georgia,81.06,79.65,82.72,87.07,89.87
Georgia,87.82,89.7,91.47,92.4,92.95
Georgia,88.73,90.88,93.38,94.02,96.24
Georgia,93.22,94.05,95,95.59,95.22
Georgia,92.73,94.33,95.4,96.04,95.84
Georgia,92.26,92.77,93.18,92.23,92.41
Georgia,93.13,94.24,94.83,95.46,95.23
Georgia,94.63,94.2,94.79,94.36,95.38
Georgia,93.43,94.62,95.29,95.91,96.15
Georgia,90.36,87.38,90.35,91.49,91.35
Georgia,86.07,85.21,87.77,88.44,88.04
Georgia,94.15,95.23,95.91,94.62,95
Georgia,92.53,93.93,96,96.03,94.93
Georgia,93.35,93.55,94.56,94.8,93.55
Georgia,90.24,91.47,92.64,93.58,93.32
Georgia,89.47,90.99,92.76,94.35,95.4
Georgia,90.58,89.52,87.51,88.4,90.79
Georgia,82.97,84.22,85.81,86.84,89.56
Georgia,90.96,92.08,93.13,93.36,93.3
Georgia,92.12,91.27,92.43,91.21,91.81
Georgia,92.96,94.52,94.9,96.75,97.57
Georgia,94.01,94.96,95.96,96.34,94.12
Georgia,91.71,92.28,93.2,92.58,92.97
Georgia,88.45,89.65,92.35,93.1,92.04
Georgia,92.15,93.43,92.17,93.6,92.25
